Titel,Projekt,Livsmedelsnummer,Vetenskapligt namn,Livsmedelsgrupp enligt EuroFIR,Artklassificering,Del av växt/djur,Fysisk form,Värmebehandling,Tillagningsmetod,Industriell process,Konserveringsmetod,Förpackningsmedium,Förpackningstyp,Förpackningsmaterial,Etikettinformation,Ursprung,Utmärkande drag
Hushållsmargarin fett 80% berikad typ Melba,2010 Margariner,12,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Saltad (H0173); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263); Vitamin D tillförd (H0214); Vitamn A tillförd (H0316),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett >60% (Z0194)
Hushållsmargarin fett 80% berikad typ Milda,2010 Margariner,13,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Saltad (H0173); Vassle tillfört (H0260); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263); Vitamin D tillförd (H0214); Vitamn A tillförd (H0316),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett >60% (Z0194)
Lättmargarin fett 38% berikad typ Becel,2010 Margariner,17,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197); Gelatin tillfört (H0165); Homogeniserad eller emulsifierad (H0306); Saltad (H0173); Vatten tillfört (H0148); Vitamin D tillförd (H0214); Vitamn A tillförd (H0316),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett 30-45% (Z0196)
"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",2010 Margariner,18,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Saltad (H0173); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263); Vitamin D tillförd (H0214); Vitamn A tillförd (H0316),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett 30-45% (Z0196)
Lättmargarin fett 40% berikad typ Lätt & lagom,2001 Margarinprodukter,20,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),"Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Mjölk eller mjölkprodukt tillförd (H0297); Mjölksyra, andra kulturer fermenterad (H0107); Modifierad stärkelse tillfört (H0279); Saltad (H0173); Vatten tillfört (H0148)",Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 30-45% (Z0196)
Majonnäs fett 90%,2014 2015 NKMT beräknade livsmedel,21,Brassica napus L. ssp. napus,"Dressing, majonnäs (A0859)",Rapsolja (B1248),Olja från frön (C0307),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Sesamsås grädde,2014 2015 NKMT beräknade livsmedel,22,Bos taurus,Sås (A0862),Ko (B1201),Grädde - mjölkfett 18%> (C0195),"Vätska, hög viskositet, med fasta bitar (E0138)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Gravlaxsås hovmästarsås,2014 2015 NKMT beräknade livsmedel,23,Brassica napus L. ssp. napus,Sås (A0862),Rapsolja (B1248),Frö eller kärna (C0155),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Gravlaxsås,1989,24,Brassica napus L. ssp. napus,Sås (A0862),Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Saltad (H0173); Socker eller sirap tillfört (H0136),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Remouladsås,2014 2015 NKMT beräknade livsmedel,25,Brassica napus L. ssp. napus,Sås (A0862),Rapsolja (B1248),Olja från frön (C0307),"Vätska, hög viskositet, med fasta bitar (E0138)",Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Vinägrett dressing fett 45%,2014 2015 NKMT beräknade livsmedel,26,Brassica napus L. ssp. napus,"Dressing, majonnäs (A0859)",Rapsolja (B1248),Olja från frön (C0307),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Lättmargarin fett 40% berikad typ Lätt & lagom oliv,2001 Margarinprodukter,27,Brassica napus L. ssp. napus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),"Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Mjölk eller mjölkprodukt tillförd (H0297); Mjölksyra, andra kulturer fermenterad (H0107); Modifierad stärkelse tillfört (H0279); Saltad (H0173); Vatten tillfört (H0148)",Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 30-45% (Z0196)
Matfettsblandning fett 40 % berikad typ Lätt & lagom omega 3,2012 Matfett,28,Brassica napus L. ssp. napus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),"Homogeniserad eller emulsifierad (H0306); Mjölk eller mjölkprodukt tillförd (H0297); Mjölksyra, andra kulturer fermenterad (H0107); Modifierad stärkelse tillfört (H0279); Saltad (H0173); Vatten tillfört (H0148); Vitamin D tillförd (H0214); Vitamn A tillfö",Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett 30-45% (Z0196)
Smör fett 80 %,2012 Matfett,29,Bos taurus,Smör (A0809),Ko (B1201),Smör - grädde 80%> (C0179),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Mjölksyra, andra kulturer fermenterad (H0107); Saltad (H0173); Vatten tillfört (H0148)",Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett >60% (Z0194)
Smör extrasaltat fett 80%,2010 Margariner,30,Bos taurus,Smör (A0809),Ko (B1201),Smör - grädde 80%> (C0179),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Mjölksyra, andra kulturer fermenterad (H0107); Saltad (H0173); Vatten tillfört (H0148)",Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett >60% (Z0194)
Smör osaltat fett 80%,2010 Margariner,31,Bos taurus,Smör (A0809),Ko (B1201),Smör - grädde 80%> (C0179),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Mjölksyra, andra kulturer fermenterad (H0107); Vatten tillfört (H0148)",Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Ej salt (P0078); Människoföda (P0026),Sverige (R0376),Fett >60% (Z0194)
Druvkärnolja,1989,33,Vitis vinifera L. ssp.,Vegetabiliskt fett och olja (A0806),Vindruva (B1329),Olja från skal (C0302),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Majsolja,2011 Olja,34,Zea mays L.,Vegetabiliskt fett och olja (A0806),Majsolja (B1379),Fett eller olja (C0190),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Värmebehandlad (F0022),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Flaska (M0214),Glas (N0040),Människoföda (P0026),Europa (R0355),
Olivolja,2011 Olja,35,Olea europaea L. var.,Vegetabiliskt fett och olja (A0806),Olivolja (B1299),Fett eller olja (C0190),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Värmebehandlad (F0022),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Flaska (M0214),Glas (N0040),Människoföda (P0026),Sydeuropa (R0358),
Tistelolja,1989,37,Carthamus tinctorius,Vegetabiliskt fett och olja (A0806),Tistelolja (B1548),Fett eller olja (C0190),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Sesamolja,1989,38,Sesamum indicum L.,Vegetabiliskt fett och olja (A0806),Sesamfrön (B1226),Olja från frön (C0307),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Sojaolja,1989,39,Glycine max,Vegetabiliskt fett och olja (A0806),Sojaolja (B1452),Olja från frön (C0307),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Solrosolja,2011 Olja,40,Helianthus annuus L.,Vegetabiliskt fett och olja (A0806),Solrosolja (B1547),Olja från frön (C0307),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Värmebehandlad (F0022),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Flaska (M0214),Glas (N0040),Människoföda (P0026),Europa (R0355),
Vetegroddsolja,1989,41,Triticum aestivum L.,Vegetabiliskt fett och olja (A0806),Vete (B1312),Olja från groddar (C0297),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Dressing fett ca 25%,1989,42,Triticum aestivum L.,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett 15-30% (Z0185)
Dressing majonnäs fett ca 60%,1989,43,Triticum aestivum L.,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200); Äggula tillförd (H0185),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett 46-60% (Z0195)
Dressing majonnäs fett ca 40%,1989,44,Triticum aestivum L.,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200); Äggula tillförd (H0185),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett 30-45% (Z0196)
Dressing majonnäs fett ca 25%,1989,45,Triticum aestivum L.,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200); Äggula tillförd (H0185),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett 15-30% (Z0185)
Dressing olja fett ca 45%,1989,46,Triticum aestivum L.,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett 30-45% (Z0196)
Dressing olja fett ca 25%,1989,47,Triticum aestivum L.,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett 15-30% (Z0185)
Dressing majonnäs lätt fett ca 15%,1989,48,Triticum aestivum L.,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200); Äggula tillförd (H0185),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Lätt eller light (P0132); Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett 15-30% (Z0185)
Dressing fett 0%,1989,49,Aqua,"Dressing, majonnäs (A0859)",Vatten (B1217),Del av växt eller djur inte applicerbart (kemiskt ämne) (C0005),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Värmebehandling okänd (F0001),Tillagningsmetod okänd (G0001),Grönsak tillförd (H0212); Saltad (H0173); Socker eller sirap tillfört (H0136); Syrad (H0200),Konserverad genom att tillföra kemikalie (J0100),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Majonnäs fett 80%,1989,50,Aqua,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200); Äggula tillförd (H0185),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Gurkmajonnäs el gurksallad gatukök,1989,51,Cucumis sativus L. var. sativus,Färdigsallad (A0866),Gurka (B1404),"Frukt eller bär, oskalad, kärna kvar (C0140)",Halvflytande med fasta bitar (E0110),Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Kryddor eller örter tillsatt (H0151); Syrad (H0200); Vegetabiliskt fett eller olja tillfört (H0263); Äggula tillförd (H0185),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Räkmajonnäs el räksallad gatukök,1989,52,Cucumis sativus L. var. sativus,Färdigsallad (A0866),Olje producerande planta (B1017),Fett eller olja (C0190),Halvflytande med fasta bitar (E0110),Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Fisk och skaldjur tillfört (H0153); Kryddor eller örter tillsatt (H0151); Syrad (H0200); Äggula tillförd (H0185),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
"Lättmajonnäs 32,5% fett",1989,53,Cucumis sativus L. var. sativus,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200); Äggula tillförd (H0185),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett 30-45% (Z0196)
