Livsmedelsnamn,Livsmedelsnummer,Energi (kcal),Energi (kJ),Kolhydrater (g),Fett (g),Protein (g),Fibrer (g),Vatten (g),Alkohol (g),Aska (g),Monosackarider (g),Disackarider (g),Sackaros (g),Fullkorn totalt (g),Sockerarter (g),Summa mättade fettsyror (g),Fettsyra 4:0-10:0 (g),Fettsyra 12:0 (g),Fettsyra 14:0 (g),Fettsyra 16:0 (g),Fettsyra 18:0 (g),Fettsyra 20:0 (g),Summa enkelomättade fettsyror (g),Fettsyra 16:1 (g),Fettsyra 18:1 (g),Summa fleromättade fettsyror (g),Fettsyra 18:2 (g),Fettsyra 18:3 (g),Fettsyra 20:4 (g),EPA (Fettsyra 20:5) (g),DPA (Fettsyra 22:5) (g),DHA (Fettsyra 22:6) (g),Kolesterol (mg),Retinol (µg),Vitamin A (µg),β-Karoten (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Tiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinekvivalenter (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folat (µg),Fosfor (mg),Jod (µg),Järn (mg),Kalcium (mg),Kalium (mg),Magnesium (mg),Natrium (mg),Salt (g),Selen (µg),Zink (mg),Avfall (skal etc.) (%),Projekt,Vetenskapligt namn,Livsmedelsgrupp enligt EuroFIR,Artklassificering,Del av växt/djur,Fysisk form,Värmebehandling,Tillagningsmetod,Industriell process,Konserveringsmetod,Förpackningsmedium,Förpackningstyp,Förpackningsmaterial,Etikettinformation,Ursprung,Utmärkande drag,Exempelvis,Visningsnamn,Söksträngar
Hushållsmargarin fett 80% berikad typ Melba,12,709.5,2968.5,0.4,80,0.1,0,18,0,1.5,0,0.4,0,0,NULL,36,0.3,2,1.1,23.4,2.6,0,34,0,33.8,10,10.3,4.3,0,0,0,0,0,NULL,900,NULL,7.5,5,NULL,0,0,0,0,0.02,0,0,0,0,NULL,0,0,0,0,600,1.5,0,0,0,2010 Margariner,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Saltad (H0173); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263); Vitamin D tillförd (H0214); Vitamn A tillförd (H0316),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett >60% (Z0194),Melba,Hushållsmargarin,"hushållsmargarin 80%, melba"
Hushållsmargarin fett 80% berikad typ Milda,13,711.5,2977,0.5,80,0.5,0,17.5,0,1.5,0,0.3,0,0,NULL,32,0.3,2,1.1,23.4,2.6,0,30,0,33.8,18,10.3,4.3,0,0,0,0,0,NULL,800,NULL,10,12,NULL,0,0,0,0,0.08,0,0,0,0,NULL,0,0,0,0,600,1.5,0,0,0,2010 Margariner,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Saltad (H0173); Vassle tillfört (H0260); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263); Vitamin D tillförd (H0214); Vitamn A tillförd (H0316),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett >60% (Z0194),Milda,Hushållsmargarin,"hushållsmargarin milda, hushållsmargarin"
Lättmargarin fett 38% berikad typ Becel,17,348.2,1457,3,38,0,0,57.75,0,1.25,0,0,0,0,NULL,8,0.2,0.9,0.3,4.9,1.2,0,11,0,11.9,19,14.2,3.7,0,0,0,0,0,NULL,800,NULL,10,12,NULL,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,500,1.25,0,0,0,2010 Margariner,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197); Gelatin tillfört (H0165); Homogeniserad eller emulsifierad (H0306); Saltad (H0173); Vatten tillfört (H0148); Vitamin D tillförd (H0214); Vitamn A tillförd (H0316),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett 30-45% (Z0196),Becel,Lättmargarin 38%,"becel, lättmargarin 38%"
"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",18,320.1,1339.2,2.5,35,0.1,0,54.4,0,0.5,0,0,0,0,NULL,9,0.2,1.3,0.5,6.2,1.3,0,9,0,8.1,17,14.1,2.6,0,0,0,0,0,NULL,800,NULL,10,10,NULL,0,0,0,0,0.02,0,0,0,0,NULL,0,0,0,0,200,0.5,0,0,0,2010 Margariner,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Saltad (H0173); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263); Vitamin D tillförd (H0214); Vitamn A tillförd (H0316),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett 30-45% (Z0196),Becel proactiv,"Lättmargarin 7,5%",becel proactiv
Lättmargarin fett 40% berikad typ Lätt & lagom,20,381,1594.1,6.2,40,0.51,0,48,0,2,0,0.5,0,0,NULL,12.36,0.99,1.72,1.58,5.96,1.48,0.16,18.13,0.44,16.6,6.89,4.57,2.16,0.04,0,0,0,40,761,789.6,0,7.34,6.22,22.9,0.02,0.09,0,0.1,0.1,0.01,0.1,0.7,75,NULL,0.1,60,20,1,500,1.25,0,0,0,2001 Margarinprodukter,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),"Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Mjölk eller mjölkprodukt tillförd (H0297); Mjölksyra, andra kulturer fermenterad (H0107); Modifierad stärkelse tillfört (H0279); Saltad (H0173); Vatten tillfört (H0148)",Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 30-45% (Z0196),Lätt & Lagom,Lättmargarin 40%,"lätt & lagom, lätt och lagom, lättmargarin"
Majonnäs fett 90%,21,784.3,3281.5,0.41,87.81,1.46,0.07,9.13,0,0.82,0.04,0.03,0.01,0,NULL,9.29,0,0,0.05,6.58,1.93,0.42,57.5,0.57,55.7,16.97,12.44,4.42,0.03,0,0,0.02,75.32,53.3,53.7,4,0.29,20.5,NULL,0.02,0.05,0.9,0,0.34,0.02,0.29,18.8,43.5,NULL,0.35,33.3,21.9,6.5,222.1,0.56,4.76,0.29,0,2014 2015 NKMT beräknade livsmedel,Brassica napus L. ssp. napus,"Dressing, majonnäs (A0859)",Rapsolja (B1248),Olja från frön (C0307),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,Majonnäs,"majonnäs, majonnäs 90%"
Sesamsås grädde,22,383.9,1606.3,3.92,40.21,2.16,0.61,51.21,0.13,1.51,0.65,2.48,0.4,0,NULL,15.98,1.63,0.72,2.34,7.96,2.66,0.14,15.91,0.52,14.85,5.67,4.09,1.5,0.02,0,0.02,0,63.27,239.3,255.8,197,0.85,4.89,NULL,0.03,0.07,0.8,0.15,0.6,0.05,0.25,8.3,67,NULL,0.37,82.7,109,14.9,410,1.03,0.94,0.4,NULL,2014 2015 NKMT beräknade livsmedel,Bos taurus,Sås (A0862),Ko (B1201),Grädde - mjölkfett 18%> (C0195),"Vätska, hög viskositet, med fasta bitar (E0138)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,,
Gravlaxsås hovmästarsås,23,435.3,1821.2,12.33,42.21,2.46,0.99,39.64,0,2.37,1.42,7.62,7.62,0,NULL,2.93,0,0,0.04,1.77,0.67,0.24,25.84,0.08,24.11,11.53,7.82,3.65,0,0,0,0,0,0,58.3,700,0,11.27,NULL,0.06,0.13,10.9,0.37,0.78,0.05,0,5.6,71.5,NULL,1.13,86.9,176.8,46.8,663.8,1.66,2.03,0.52,1.6,2014 2015 NKMT beräknade livsmedel,Brassica napus L. ssp. napus,Sås (A0862),Rapsolja (B1248),Frö eller kärna (C0155),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,Hovmästarsås,hovmästarsås
Gravlaxsås,24,554.9,2321.9,13.1,56,1.6,0,28,0,1.3,0.8,9.5,9.5,0,NULL,8.2,0,0,0,5.84,1.93,0.21,13.4,0,13.22,32,27.95,4.02,0,0,0,0,0,0,35,420,0,8,NULL,0.01,0.02,10,0.1,0.37,0.02,0,0,44,NULL,1.9,58,79,32,275,0.69,0,0.1,0,1989,Brassica napus L. ssp. napus,Sås (A0862),Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Saltad (H0173); Socker eller sirap tillfört (H0136),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,Gravlaxsås,gravlaxsås
Remouladsås,25,707.7,2960.9,1.07,78.81,1.44,0.27,17.3,0,0.84,0.26,0.18,0.16,0,NULL,8.34,0,0,0.05,5.91,1.73,0.38,51.59,0.51,49.96,15.24,11.17,3.98,0.03,0,0,0.02,67.57,47.8,59.1,135,0.26,18.45,NULL,0.02,0.06,3.9,0.05,0.38,0.02,0.26,20.9,42.5,NULL,0.41,37,43.1,7.1,268.5,0.67,4.29,0.3,0,2014 2015 NKMT beräknade livsmedel,Brassica napus L. ssp. napus,Sås (A0862),Rapsolja (B1248),Olja från frön (C0307),"Vätska, hög viskositet, med fasta bitar (E0138)",Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,Remouladsås,remouladsås
Vinägrett dressing fett 45%,26,438.4,1834.4,3.32,47.67,0.74,0.17,44.25,0,3.84,0.26,0.02,0.02,0,NULL,3.36,0,0,0.05,2.04,0.77,0.27,29.22,0.09,28.09,13.05,8.96,4.04,0,0,0,0,0,0,0,0,0,12.47,NULL,0.01,0.02,0.7,0.02,0.14,0,0,0.1,21.9,NULL,0.43,53.6,58.7,17.8,1451.1,3.63,0.94,0.11,0.3,2014 2015 NKMT beräknade livsmedel,Brassica napus L. ssp. napus,"Dressing, majonnäs (A0859)",Rapsolja (B1248),Olja från frön (C0307),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,,
Lättmargarin fett 40% berikad typ Lätt & lagom oliv,27,388.3,1624.5,8,40,0.5,0,49.3,0,2.2,0,1,0,0,NULL,17.25,0.99,1.82,1.29,10.98,1.86,0.15,17.02,0.15,16.64,3.91,3.27,0.61,0,0,0,0,10,900,900,0,7.5,2.5,NULL,0.02,0.09,0,0.1,0.22,0.01,0.1,1,75,NULL,0.1,60,20,1,750,1.88,0,0,0,2001 Margarinprodukter,Brassica napus L. ssp. napus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),"Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Mjölk eller mjölkprodukt tillförd (H0297); Mjölksyra, andra kulturer fermenterad (H0107); Modifierad stärkelse tillfört (H0279); Saltad (H0173); Vatten tillfört (H0148)",Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 30-45% (Z0196),Lått & Lagom oliv,Lättmargarin oliv,"lätt och lagom oliv, lätt & lagom oliv"
Matfettsblandning fett 40 % berikad typ Lätt & lagom omega 3,28,377.3,1578.6,5.5,40,0.3,0,53,0,1.25,0,0.5,0,0,NULL,12.36,0.99,1.72,1.58,5.96,1.48,0.16,18.13,0.44,16.6,7.66,4.57,2.16,0.04,0.31,0.04,0.42,70,761,789.6,343,7.34,6.22,22.9,0,0,0,0,0.1,0,0,0,0,NULL,0,0,0,0,500,1.25,0,0,0,2012 Matfett,Brassica napus L. ssp. napus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),"Homogeniserad eller emulsifierad (H0306); Mjölk eller mjölkprodukt tillförd (H0297); Mjölksyra, andra kulturer fermenterad (H0107); Modifierad stärkelse tillfört (H0279); Saltad (H0173); Vatten tillfört (H0148); Vitamin D tillförd (H0214); Vitamn A tillfö",Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett 30-45% (Z0196),Lätt & Lagom omega 3,Smör omega 3,"lätt & lagom omega 3, lätt och lagom omega 3, lätt & lagom omega tre, lätt och lagom omega tre"
